# Recipe Deployment Flow - Lucidchart Import Format
# This CSV file can be imported into Lucidchart to create the flow diagram
# Instructions: In Lucidchart, go to File > Import Data > select this CSV file

Id,Name,Shape,Text Color,Fill Color,Line Color,Source,Target,Label
1,DevOps Team Initiates One-Click Script,Terminator,#000000,#90EE90,#000000,,,
2,Identify Target Stage,Decision,#000000,#FFFFFF,#000000,1,,
3,Seed Data Repo DEV,Database,#000000,#87CEEB,#000000,2,,DEV
4,Seed Data Repo UAT,Database,#000000,#87CEEB,#000000,2,,UAT
5,Seed Data Repo PROD,Database,#000000,#87CEEB,#000000,2,,PROD
6,Fetch Recipe Collections,Process,#000000,#FFFFFF,#000000,3,,
7,Fetch Recipe Collections,Process,#000000,#FFFFFF,#000000,4,,
8,Fetch Recipe Collections,Process,#000000,#FFFFFF,#000000,5,,
9,Validate Recipes,Decision,#000000,#FFFFFF,#000000,6,,
10,Validate Recipes,Decision,#000000,#FFFFFF,#000000,7,,
11,Validate Recipes,Decision,#000000,#FFFFFF,#000000,8,,
12,Log Error & Notify,Process,#000000,#FFB6C1,#000000,9,,Invalid
13,Log Error & Notify,Process,#000000,#FFB6C1,#000000,10,,Invalid
14,Log Error & Notify,Process,#000000,#FFB6C1,#000000,11,,Invalid
15,Deployment Failed,Terminator,#000000,#FFB6C1,#000000,12,,
16,Deployment Failed,Terminator,#000000,#FFB6C1,#000000,13,,
17,Deployment Failed,Terminator,#000000,#FFB6C1,#000000,14,,
18,Transform to Tenant Format,Process,#000000,#FFFFFF,#000000,9,,Valid
19,Transform to Tenant Format,Process,#000000,#FFFFFF,#000000,10,,Valid
20,Transform to Tenant Format,Process,#000000,#FFFFFF,#000000,11,,Valid
21,Upload to Target Tenant,Process,#000000,#FFFFFF,#000000,18,,
22,Upload to Target Tenant,Process,#000000,#FFFFFF,#000000,19,,
23,Upload to Target Tenant,Process,#000000,#FFFFFF,#000000,20,,
24,Verify Upload,Decision,#000000,#FFFFFF,#000000,21,,
25,Verify Upload,Decision,#000000,#FFFFFF,#000000,22,,
26,Verify Upload,Decision,#000000,#FFFFFF,#000000,23,,
27,Rollback & Notify,Process,#000000,#FFB6C1,#000000,24,,Failure
28,Rollback & Notify,Process,#000000,#FFB6C1,#000000,25,,Failure
29,Rollback & Notify,Process,#000000,#FFB6C1,#000000,26,,Failure
30,Deployment Failed,Terminator,#000000,#FFB6C1,#000000,27,,
31,Deployment Failed,Terminator,#000000,#FFB6C1,#000000,28,,
32,Deployment Failed,Terminator,#000000,#FFB6C1,#000000,29,,
33,Deployment Successful,Terminator,#000000,#90EE90,#000000,24,,Success
34,Deployment Successful,Terminator,#000000,#90EE90,#000000,25,,Success
35,Deployment Successful,Terminator,#000000,#90EE90,#000000,26,,Success
